--- Start
Calibration finished !

Learning mode activated? 
False
iteration,date,init_position,final_position,time
556,2022-01-02-11:13:07,4,2,1.726470
557,2022-01-02-11:13:09,2,4,1.798466
558,2022-01-02-11:13:10,4,0,1.523251
559,2022-01-02-11:13:12,0,4,1.525435
560,2022-01-02-11:13:13,4,1,1.280984
561,2022-01-02-11:13:15,1,7,1.695863
562,2022-01-02-11:13:17,7,4,1.857943
563,2022-01-02-11:13:18,4,1,1.321679
564,2022-01-02-11:13:19,1,0,1.041262
565,2022-01-02-11:13:20,0,1,1.016815
566,2022-01-02-11:13:22,1,2,1.968393
567,2022-01-02-11:13:24,2,1,1.963911
568,2022-01-02-11:13:26,1,7,1.707352
569,2022-01-02-11:13:28,7,2,2.630728
570,2022-01-02-11:13:31,2,3,2.568563
571,2022-01-02-11:13:34,3,2,2.595603
572,2022-01-02-11:13:35,2,1,1.939427
