"iteration,date,executiontime"
670,2022-02-08-13:10:30,0.68667
671,2022-02-08-13:10:30,0.37974
672,2022-02-08-13:10:31,0.73241
673,2022-02-08-13:10:32,0.77975
674,2022-02-08-13:10:33,1.02265
675,2022-02-08-13:10:34,0.65374
676,2022-02-08-13:10:34,0.76132
677,2022-02-08-13:10:35,0.89015
678,2022-02-08-13:10:36,0.65973
679,2022-02-08-13:10:37,0.78369
680,2022-02-08-13:10:37,0.44648
681,2022-02-08-13:10:38,0.41223
682,2022-02-08-13:10:38,0.67631
683,2022-02-08-13:10:39,0.61128
684,2022-02-08-13:10:40,0.71061
685,2022-02-08-13:10:40,0.61898
686,2022-02-08-13:10:41,0.41196
687,2022-02-08-13:10:41,0.71191
688,2022-02-08-13:10:42,0.42668
689,2022-02-08-13:10:43,0.80015
690,2022-02-08-13:10:43,0.71204
691,2022-02-08-13:10:44,0.51023
692,2022-02-08-13:10:44,0.53242
693,2022-02-08-13:10:45,0.53230
694,2022-02-08-13:10:46,0.73327
695,2022-02-08-13:10:46,0.84589
