"iteration,date,executiontime"
629,2022-02-09-00:21:53,0.78452
630,2022-02-09-00:21:54,0.87240
631,2022-02-09-00:21:55,0.84217
632,2022-02-09-00:21:56,0.75952
633,2022-02-09-00:21:56,0.82253
634,2022-02-09-00:21:57,0.44610
635,2022-02-09-00:21:58,0.72112
636,2022-02-09-00:21:58,0.73397
637,2022-02-09-00:21:59,0.55278
638,2022-02-09-00:21:59,0.55299
639,2022-02-09-00:22:00,0.57527
640,2022-02-09-00:22:01,1.29950
641,2022-02-09-00:22:02,0.61954
642,2022-02-09-00:22:03,0.63357
643,2022-02-09-00:22:03,0.87439
644,2022-02-09-00:22:04,0.97003
645,2022-02-09-00:22:05,0.77268
646,2022-02-09-00:22:06,0.73650
647,2022-02-09-00:22:07,0.77062
648,2022-02-09-00:22:08,1.04838
649,2022-02-09-00:22:09,0.84753
650,2022-02-09-00:22:09,0.72900
651,2022-02-09-00:22:10,0.79961
652,2022-02-09-00:22:11,0.76398
653,2022-02-09-00:22:12,0.78339
654,2022-02-09-00:22:12,0.82083
655,2022-02-09-00:22:13,0.61794
656,2022-02-09-00:22:14,0.70956
657,2022-02-09-00:22:14,0.64867
658,2022-02-09-00:22:15,0.73771
659,2022-02-09-00:22:16,0.79782
660,2022-02-09-00:22:17,0.62590
661,2022-02-09-00:22:17,0.57984
662,2022-02-09-00:22:18,0.58760
663,2022-02-09-00:22:18,0.63147
664,2022-02-09-00:22:19,0.60836
665,2022-02-09-00:22:20,0.74339
666,2022-02-09-00:22:21,0.73374
667,2022-02-09-00:22:21,0.70047
668,2022-02-09-00:22:22,0.85829
669,2022-02-09-00:22:23,0.87879
670,2022-02-09-00:22:24,0.66636
671,2022-02-09-00:22:24,0.81459
672,2022-02-09-00:22:25,0.63083
673,2022-02-09-00:22:26,0.71006
674,2022-02-09-00:22:26,0.62944
675,2022-02-09-00:22:27,0.64032
676,2022-02-09-00:22:28,0.70649
677,2022-02-09-00:22:28,0.69032
678,2022-02-09-00:22:29,0.54887
679,2022-02-09-00:22:30,0.67348
680,2022-02-09-00:22:30,0.73533
